,0,1
0,7.470703125000001e-10,0.0
1,9.765625e-12,0.0
2,1.4648437500000002e-10,0.0
3,0.0,0.0
4,4.8828125e-12,0.0
5,5.859375000000001e-11,0.0
6,1.953125e-11,0.0
7,9.765625e-12,0.0
8,4.8828125e-12,0.0
9,0.0,0.0
10,9.27734375e-11,0.0
11,2.9296875000000004e-11,0.0
12,4.8828125e-12,0.0
13,1.2890625e-09,0.0
14,1.5283203125e-09,0.0
15,1.572265625e-09,0.0
16,1.4355468750000001e-09,0.0
17,1.4794921875000001e-09,0.0
18,1.4599609375e-09,0.0
19,1.3134765625e-09,0.0
20,1.4697265625e-09,0.0
21,1.50390625e-09,0.0
22,1.4453125e-09,0.0
23,1.5966796875e-09,0.0
24,1.5283203125e-09,0.0
25,1.03515625e-09,0.0
26,1.4355468750000001e-09,0.0
27,1.4355468750000001e-09,0.0
28,1.5966796875e-09,0.0
29,1.5869140625000001e-09,0.0
30,1.46484375e-09,0.0
31,1.3720703125e-09,0.0
32,1.572265625e-09,0.0
33,1.6015625000000002e-09,0.0
34,1.4794921875000001e-09,0.0
