,0
0,1.533203125e-09
1,5.664062500000001e-10
2,1.484375e-09
3,5.224609375000001e-10
4,0.0
5,1.806640625e-10
6,7.275390625000001e-10
7,1.25e-09
8,1.2597656250000001e-09
9,1.3281250000000001e-09
10,2.63671875e-10
11,1.2890625e-09
12,1.2646484375e-09
13,1.5087890625e-09
14,1.2988281250000002e-09
15,1.4062500000000002e-09
16,1.3671875000000001e-09
17,1.50390625e-09
18,1.181640625e-09
19,1.4208984375e-09
20,1.3037109375000001e-09
21,1.4306640625000002e-09
22,1.2451171875e-09
23,1.1767578125000001e-09
24,1.3671875000000001e-09
25,2.0019531250000002e-10
26,1.4208984375e-09
27,1.2890625e-09
28,1.4062500000000002e-09
29,1.2060546875e-09
30,1.4355468750000001e-09
31,1.1914062500000002e-09
32,1.5869140625000001e-09
33,1.416015625e-09
34,1.4892578125e-09
35,1.5283203125e-09
36,1.1718750000000002e-09
37,1.5820312500000002e-09
38,1.2646484375e-09
39,1.416015625e-09
40,1.4306640625000002e-09
41,1.4550781250000001e-09
42,1.4013671875e-09
43,6.933593750000001e-10
44,1.1767578125000001e-09
45,1.1572265625e-09
46,1.3720703125e-09
47,1.1669921875e-09
48,1.3281250000000001e-09
49,1.3916015625000001e-09
50,7.275390625000001e-10
51,1.5136718750000002e-09
52,1.3281250000000001e-09
53,1.220703125e-09
54,1.4892578125e-09
55,1.2548828125e-09
56,1.46484375e-09
57,1.3623046875e-09
58,1.2597656250000001e-09
59,1.23046875e-09
60,1.416015625e-09
61,1.220703125e-09
62,1.4501953125000002e-09
63,1.23046875e-09
64,1.4501953125000002e-09
65,1.220703125e-09
66,1.25e-09
67,1.2060546875e-09
68,1.5380859375000002e-09
69,1.2402343750000001e-09
70,1.4208984375e-09
71,1.2451171875e-09
72,1.50390625e-09
73,1.5429687500000001e-09
74,1.4208984375e-09
75,1.4990234375000001e-09
76,1.25e-09
77,1.3476562500000001e-09
78,1.4208984375e-09
79,1.3720703125e-09
80,1.3134765625e-09
81,1.3330078125e-09
82,8.886718750000001e-10
83,1.3476562500000001e-09
84,1.3671875000000001e-09
85,1.4306640625000002e-09
86,1.4013671875e-09
87,1.3476562500000001e-09
88,1.4355468750000001e-09
89,1.3476562500000001e-09
90,1.0595703125e-09
91,1.181640625e-09
92,1.1865234375e-09
93,1.2646484375e-09
94,1.3281250000000001e-09
95,1.1083984375000001e-09
96,1.1523437500000001e-09
97,1.1767578125000001e-09
98,1.220703125e-09
99,1.1962890625000001e-09
100,1.2939453125e-09
101,1.4501953125000002e-09
102,1.1328125000000001e-09
103,1.416015625e-09
104,1.1669921875e-09
105,1.5576171875000002e-09
106,1.484375e-09
107,1.2646484375e-09
108,1.2109375e-09
109,1.4404296875e-09
110,1.416015625e-09
111,1.2939453125e-09
112,1.2792968750000002e-09
113,1.4599609375e-09
114,1.5136718750000002e-09
115,1.5478515625e-09
116,1.4355468750000001e-09
117,1.4746093750000002e-09
118,1.3818359375e-09
119,1.2548828125e-09
120,1.25e-09
121,1.5380859375000002e-09
122,1.2060546875e-09
123,1.5136718750000002e-09
124,1.4062500000000002e-09
125,1.2353515625000002e-09
126,1.1376953125e-09
127,1.142578125e-09
128,1.1523437500000001e-09
129,1.4404296875e-09
130,1.2158203125000001e-09
131,1.46484375e-09
132,1.26953125e-09
133,1.2939453125e-09
134,1.23046875e-09
135,1.25e-09
136,1.1083984375000001e-09
137,1.0107421875e-09
138,1.0400390625e-09
139,9.66796875e-10
140,7.32421875e-10
141,2.490234375e-10
142,3.4179687500000004e-10
143,1.2597656250000001e-09
